,ID,Size,Spacing,sclice_number,slice_thickness
0,MPS1,"(512, 512, 68)","(0.44834136962890625, 0.44834136962890625, 2.4996891021728516)",68,2.4996891021728516
1,MPS2,"(512, 512, 316)","(0.4882810115814209, 0.4882810115814209, 0.625)",316,0.625
2,MPS3,"(512, 512, 34)","(0.48046875, 0.48046875, 5.0)",34,5.0
3,MPS4,"(512, 512, 241)","(0.4492189884185791, 0.4492189884185791, 0.625)",241,0.625
4,MPS5,"(512, 512, 180)","(0.4099999964237213, 0.4099999964237213, 1.0)",180,1.0
5,MPS6,"(512, 512, 259)","(0.51953125, 0.51953125, 0.699999988079071)",259,0.699999988079071
6,MPS7,"(512, 512, 40)","(0.6268740296363831, 0.6268738508224487, 4.0)",40,4.0
7,MPS8,"(512, 512, 107)","(0.42578125, 0.42578125, 1.5)",107,1.5
8,MPS9,"(512, 512, 108)","(0.48828125, 0.48828125, 1.5)",108,1.5
9,MPS10,"(512, 512, 58)","(0.4296875298023224, 0.4296875298023224, 3.0)",58,3.0
10,MPS11,"(512, 512, 40)","(0.4882810115814209, 0.48828089237213135, 3.456948757171631)",40,3.456948757171631
11,MPS12,"(512, 66, 515)","(0.33592233061790466, 3.0000014305114746, 0.3359375)",515,0.3359375
12,MPS13,"(512, 512, 51)","(0.46875, 0.46875, 3.000000238418579)",51,3.000000238418579
13,MPS14,"(512, 512, 74)","(0.44921875, 0.4492187798023224, 2.500000238418579)",74,2.500000238418579
